Variavel,Importancia
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Garagem",0.0014522726
"TX_RESP_Q12_Wi-Fi, Quarto, Lavadora",0.0014487114
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Freezer",0.0014481395
ID_AREA_Interior,0.0014460327
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Garagem",0.0014449373
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora, Garagem",0.0014429345
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora, Garagem",0.0014409481
"TX_RESP_Q12_Microondas, Aspirador, Lavadora, Freezer",0.0014386316
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Lavadora, Garagem",0.0014385883
"TX_RESP_Q12_Microondas, Aspirador, Lavadora, Freezer, Garagem",0.0014338435
"TX_RESP_Q12_Wi-Fi, Quarto",0.0014332853
TX_RESP_Q20b_Menos de 1 hora,0.0014313424
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora",0.0014234347
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora, Garagem",0.0014206956
"TX_RESP_Q12_Quarto, Microondas",0.0013934777
TX_RESP_Q02_17 anos,0.0013862808
"TX_RESP_Q12_Mesa, Lavadora, Freezer, Garagem",0.0013851214
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Lavadora",0.0013817406
TX_RESP_Q11g_1,0.0013754235
"TX_RESP_Q12_Mesa, Lavadora",0.0013698346
TX_RESP_Q12_Nenhum,0.0013650409
"TX_RESP_Q06_Mãe ou Madrasta, Avô ou Avó",0.0013612983
"TX_RESP_Q12_Quarto, Lavadora, Freezer",0.0013545044
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Freezer",0.0013522715
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Lavadora, Freezer, Garagem",0.001336482
"TX_RESP_Q12_Lavadora, Freezer",0.001332331
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Freezer",0.0013314725
TX_RESP_Q07_Ensino Médio completo,0.001323243
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Lavadora",0.0013223547
"TX_RESP_Q12_Wi-Fi, Microondas, Freezer, Garagem",0.0013044967
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Lavadora",0.0013011124
TX_RESP_Q15_Sim,0.0013009938
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Sim, Iluminacão: Não",0.0013005872
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora, Freezer",0.0012983845
"TX_RESP_Q12_Quarto, Microondas, Lavadora, Freezer, Garagem",0.001293836
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Lavadora, Garagem",0.0012890514
"TX_RESP_Q12_Wi-Fi, Mesa",0.0012884104
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Garagem",0.0012863954
TX_RESP_Q09f_Sempre ou quase sempre,0.0012860474
TX_RESP_Q14_De ônibus,0.0012830319
"TX_RESP_Q12_Wi-Fi, Microondas, Garagem",0.0012829523
"TX_RESP_Q10_Asfalto ou Calcamento: Não, Água tratada: Sim, Iluminacão: Sim",0.0012812786
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Lavadora, Garagem",0.0012753956
"TX_RESP_Q12_Wi-Fi, Mesa, Lavadora, Freezer",0.0012719788
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora, Garagem",0.001268794
TX_RESP_Q11f_2,0.001259868
