Variavel,Importancia
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora, Garagem",0.0008908791
"TX_RESP_Q12_Quarto, Mesa, Microondas, Freezer, Garagem",0.0008899383
"TX_RESP_Q12_Mesa, Microondas",0.0008897347
"TX_RESP_Q12_Quarto, Freezer",0.00087992573
"TX_RESP_Q12_Microondas, Garagem",0.0008642101
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora",0.00085437135
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Freezer, Garagem",0.00084231154
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador",0.0008297739
"TX_RESP_Q12_Mesa, Aspirador, Lavadora",0.0008226722
TX_RESP_Q12_Microondas,0.0008208567
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Garagem",0.0008132921
"TX_RESP_Q12_Aspirador, Lavadora, Freezer, Garagem",0.00080955593
"TX_RESP_Q12_Mesa, Microondas, Lavadora",0.00079912925
"TX_RESP_Q12_Microondas, Aspirador, Lavadora, Garagem",0.000793565
"TX_RESP_Q12_Quarto, Microondas",0.00078892394
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Freezer",0.000781703
"TX_RESP_Q12_Aspirador, Lavadora",0.00077780033
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador",0.0007598187
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Freezer",0.0007591867
TX_RESP_Q12_Lavadora,0.0007581224
"TX_RESP_Q12_Quarto, Microondas, Freezer",0.0007254176
"TX_RESP_Q12_Quarto, Mesa, Microondas",0.00070725713
"TX_RESP_Q12_Mesa, Microondas, Lavadora, Garagem",0.0006666123
"TX_RESP_Q12_Mesa, Microondas, Freezer, Garagem",0.00066341565
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Lavadora",0.0006460658
"TX_RESP_Q12_Quarto, Mesa, Lavadora, Garagem",0.0006453304
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Freezer, Garagem",0.0006039963
"TX_RESP_Q12_Aspirador, Lavadora, Garagem",0.0
"TX_RESP_Q12_Mesa, Microondas, Freezer",0.0
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Garagem",0.0
"TX_RESP_Q12_Mesa, Microondas, Aspirador",0.0
"TX_RESP_Q12_Mesa, Aspirador",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Garagem",0.0
"TX_RESP_Q12_Aspirador, Garagem",0.0
"TX_RESP_Q12_Mesa, Garagem",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador",0.0
"TX_RESP_Q12_Mesa, Aspirador, Lavadora, Garagem",0.0
"TX_RESP_Q12_Mesa, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Freezer",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador",0.0
"TX_RESP_Q12_Mesa, Aspirador, Freezer",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador",0.0
"TX_RESP_Q12_Mesa, Microondas, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora",0.0
"TX_RESP_Q12_Quarto, Mesa, Freezer",0.0
"TX_RESP_Q12_Quarto, Mesa, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Lavadora",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Freezer",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Wi-Fi, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Microondas, Aspirador",0.0
"TX_RESP_Q12_Wi-Fi, Aspirador, Freezer",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Garagem",0.0
"TX_RESP_Q12_Quarto, Microondas, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora, Garagem",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Garagem",0.0
